 Rig #  Mfg                    Model                   Version         Status      Macro
  3058  Icom                   IC-R20                  20210107.0      Beta        RIG_MODEL_ICR20
  3060  Icom                   IC-7000                 20210107.1      Stable      RIG_MODEL_IC7000
  3061  Icom                   IC-7200                 20210107.0      Beta        RIG_MODEL_IC7200
  3062  Icom                   IC-7700                 20210107.0      Stable      RIG_MODEL_IC7700
  3063  Icom                   IC-7600                 20210107.0      Stable      RIG_MODEL_IC7600
  3064  Ten-Tec                Delta II                20210107.0      Untested    RIG_MODEL_DELTAII
  3065  Icom                   IC-92D                  20210107.0      Untested    RIG_MODEL_IC92D
  3066  Icom                   IC-R9500                20210107.0      Beta        RIG_MODEL_ICR9500
  3067  Icom                   IC-7410                 20210107.0      Untested    RIG_MODEL_IC7410
  3068  Icom                   IC-9100                 20210107.0      Stable      RIG_MODEL_IC9100
  3069  Icom                   IC-RX7                  20210107.0      Untested    RIG_MODEL_ICRX7
  3070  Icom                   IC-7100                 20210107.0      Stable      RIG_MODEL_IC7100
  3071  Icom                   ID-5100                 20210107.0      Untested    RIG_MODEL_ID5100
  3072  Icom                   IC-2730                 20210107.0      Untested    RIG_MODEL_IC2730
  3073  Icom                   IC-7300                 20210107.1      Stable      RIG_MODEL_IC7300
  3074  Microtelecom           Perseus                 20210107.0      Alpha       RIG_MODEL_PERSEUS
  3075  Icom                   IC-785x                 20210107.0      Beta        RIG_MODEL_IC785x
  3076  Xeigu                  X108G                   20210107.0      Alpha       RIG_MODEL_X108G
  3077  Icom                   IC-R6                   20210107.0      Beta        RIG_MODEL_ICR6
  3078  Icom                   IC-7610                 20210107.0      Stable      RIG_MODEL_IC7610
  3079  Icom                   IC-R8600                20210107.0      Alpha       RIG_MODEL_ICR8600
  3080  Icom                   IC-R30                  20210107.0      Alpha       RIG_MODEL_ICR30
  3081  Icom                   IC-9700                 20210107.1      Stable      RIG_MODEL_IC9700
  3082  Icom                   ID-4100                 20210107.0      Untested    RIG_MODEL_ID4100
  3083  Icom                   ID-31                   20210107.0      Untested    RIG_MODEL_ID31
  3084  Icom                   ID-51                   20210107.0      Untested    RIG_MODEL_ID51
  3085  Icom                   IC-705                  20210107.0      Stable      RIG_MODEL_IC705
  4001  Icom                   IC-PCR1000              20200323.0      Beta        RIG_MODEL_PCR1000
  4002  Icom                   IC-PCR100               20200323.0      Beta        RIG_MODEL_PCR100
  4003  Icom                   IC-PCR1500              20200323.0      Beta        RIG_MODEL_PCR1500
  4004  Icom                   IC-PCR2500              20200323.0      Beta        RIG_MODEL_PCR2500
  5001  AOR                    AR8200                  20200404.0      Alpha       RIG_MODEL_AR8200
  5002  AOR                    AR8000                  20200404.0      Beta        RIG_MODEL_AR8000
  5003  AOR                    AR7030                  20200324.0      Beta        RIG_MODEL_AR7030
  5004  AOR                    AR5000                  20200404.0      Beta        RIG_MODEL_AR5000
  5005  AOR                    AR3030                  20200113.0      Stable      RIG_MODEL_AR3030
  5006  AOR                    AR3000A                 20061007.0      Beta        RIG_MODEL_AR3000A
  5008  AOR                    AR2700                  20200404.0      Untested    RIG_MODEL_AR2700
  5013  AOR                    AR8600                  20200404.0      Beta        RIG_MODEL_AR8600
  5014  AOR                    AR5000A                 20200404.0      Alpha       RIG_MODEL_AR5000A
  5015  AOR                    AR7030 Plus             20200319.0      Beta        RIG_MODEL_AR7030P
  5016  AOR                    SR2200                  20200404.0      Beta        RIG_MODEL_SR2200
  6005  JRC                    NRD-525                 20200320.0      Alpha       RIG_MODEL_NRD525
  6006  JRC                    NRD-535D                20200320.0      Stable      RIG_MODEL_NRD535
  6007  JRC                    NRD-545 DSP             20200320.0      Beta        RIG_MODEL_NRD545
  8001  Uniden                 BC780xlt                20200621.0      Stable      RIG_MODEL_BC780
  8002  Uniden                 BC245xlt                20200621.0      Untested    RIG_MODEL_BC245
  8003  Uniden                 BC895xlt                20200621.0      Untested    RIG_MODEL_BC895
  8004  Radio Shack            PRO-2052                20200621.0      Untested    RIG_MODEL_PRO2052
  8006  Uniden                 BC250D                  20200621.0      Untested    RIG_MODEL_BC250
  8010  Uniden                 BCD-396T                20170808.0      Alpha       RIG_MODEL_BCD396T
  8011  Uniden                 BCD-996T                20170808.0      Alpha       RIG_MODEL_BCD996T
  8012  Uniden                 BC898T                  20200621.0      Untested    RIG_MODEL_BC898
  9002  Drake                  R-8A                    20200319.0      Beta        RIG_MODEL_DKR8A
  9003  Drake                  R-8B                    20200319.0      Untested    RIG_MODEL_DKR8B
 10004  Lowe                   HF-235                  20200112.0      Alpha       RIG_MODEL_HF235
 11003  Racal                  RA6790/GM               20200113.0      Untested    RIG_MODEL_RA6790
 11005  Racal                  RA3702                  20200114.0      Alpha       RIG_MODEL_RA3702
 12004  Watkins-Johnson        WJ-8888                 20040912.0      Untested    RIG_MODEL_WJ8888
 14002  Skanti                 TRP8000                 20191208.0      Untested    RIG_MODEL_TRP8000
 14004  Skanti                 TRP 8255 S R            20200323.0      Untested    RIG_MODEL_TRP8255
 15001  Winradio               WR-1000                 20110822.0      Untested    RIG_MODEL_WR1000
 15002  Winradio               WR-1500                 20110822.0      Untested    RIG_MODEL_WR1500
 15003  Winradio               WR-1550                 20110822.0      Untested    RIG_MODEL_WR1550
 15004  Winradio               WR-3100                 20110822.0      Untested    RIG_MODEL_WR3100
 15005  Winradio               WR-3150                 20110822.0      Untested    RIG_MODEL_WR3150
 15006  Winradio               WR-3500                 20110822.0      Untested    RIG_MODEL_WR3500
 15007  Winradio               WR-3700                 20110822.0      Untested    RIG_MODEL_WR3700
 15009  Winradio               WR-G313                 20191224.0      Alpha       RIG_MODEL_G313
 16001  Ten-Tec                TT-550                  20190817.0      Stable      RIG_MODEL_TT550
 16002  Ten-Tec                TT-538 Jupiter          20191209.0      Stable      RIG_MODEL_TT538
 16003  Ten-Tec                RX-320                  20200113.0      Stable      RIG_MODEL_RX320
 16004  Ten-Tec                RX-340                  20160409.0      Untested    RIG_MODEL_RX340
 16005  Ten-Tec                RX-350                  20191208.0      Untested    RIG_MODEL_RX350
 16007  Ten-Tec                TT-516 Argonaut V       20191208.0      Stable      RIG_MODEL_TT516
 16008  Ten-Tec                TT-565 Orion            20200324.0      Beta        RIG_MODEL_TT565
 16009  Ten-Tec                TT-585 Paragon          20200305.0      Beta        RIG_MODEL_TT585
 16011  Ten-Tec                TT-588 Omni VII         20200113.0      Stable      RIG_MODEL_TT588
 16012  Ten-Tec                RX-331                  20200323.0      Beta        RIG_MODEL_RX331
 16013  Ten-Tec                TT-599 Eagle            20200324.0      Untested    RIG_MODEL_TT599
 17001  Alinco                 DX-77                   20200323.0      Beta        RIG_MODEL_DX77
 17002  Alinco                 DX-SR8                  20200323.0      Beta        RIG_MODEL_DXSR8
 18001  Kachina                505DSP                  20061007.0      Alpha       RIG_MODEL_505DSP
 22001  TAPR                   DSP-10                  20061007.0      Alpha       RIG_MODEL_DSP10
 23001  Flex-radio             SDR-1000                20200323.0      Untested    RIG_MODEL_SDR1000
 23003  DTTS Microwave Society DttSP IPC               20200319.0      Alpha       RIG_MODEL_DTTSP
 23004  DTTS Microwave Society DttSP UDP               20200319.0      Alpha       RIG_MODEL_DTTSP_UDP
 24001  RFT                    EKD-500                 20031007.0      Alpha       RIG_MODEL_EKD500
 25001  Elektor                Elektor 3/04            20200112.0      Stable      RIG_MODEL_ELEKTOR304
 25002  SAT-Schneider          DRT1                    20200112.0      Beta        RIG_MODEL_DRT1
 25003  Coding Technologies    Digital World Traveller 20200112.0      Untested    RIG_MODEL_DWT
 25006  AmQRP                  DDS-60                  20200112.0      Alpha       RIG_MODEL_DDS60
 25007  Elektor                Elektor SDR-USB         20200112.0      Stable      RIG_MODEL_ELEKTOR507
 25008  mRS                    miniVNA                 20190817.0      Alpha       RIG_MODEL_MINIVNA
 25009  SoftRock               Si570 AVR-USB           20200112.0      Beta        RIG_MODEL_SI570AVRUSB
 25011  KTH-SDR kit            Si570 PIC-USB           20200112.0      Beta        RIG_MODEL_SI570PICUSB
 25012  FiFi                   FiFi-SDR                20200112.0      Beta        RIG_MODEL_FIFISDR
 25013  AMSAT-UK               FUNcube Dongle          20200112.0      Stable      RIG_MODEL_FUNCUBEDONGLE
 25014  N2ADR                  HiQSDR                  20200323.0      Untested    RIG_MODEL_HIQSDR
 25015  Funkamateur            FA-SDR                  20200112.0      Alpha       RIG_MODEL_FASDR
 25016  AE9RB                  Si570 Peaberry V1       20200112.0      Beta        RIG_MODEL_SI570PEABERRY1
 25017  AE9RB                  Si570 Peaberry V2       20200112.0      Beta        RIG_MODEL_SI570PEABERRY2
 25018  AMSAT-UK               FUNcube Dongle Pro+     20200112.0      Stable      RIG_MODEL_FUNCUBEDONGLEPLUS
 25019  HobbyPCB               RS-HFIQ                 20191209.0      Beta        RIG_MODEL_RSHFIQ
 26001  Video4Linux            SW/FM radio             20120107.0      Beta        RIG_MODEL_V4L
 26002  Video4Linux2           SW/FM radio             20191223.0      Alpha       RIG_MODEL_V4L2
 27001  Rohde&Schwarz          ESMC                    20090803.0      Alpha       RIG_MODEL_ESMC
 27002  Rohde&Schwarz          EB200                   20090803.0      Untested    RIG_MODEL_EB200
 27003  Rohde&Schwarz          XK2100                  20180307.0      Beta        RIG_MODEL_XK2100
 28001  Philips/Simoco         PRM8060                 20101027.0      Alpha       RIG_MODEL_PRM8060
 29001  ADAT www.adat.ch       ADT-200A                20191206.0      Beta        RIG_MODEL_ADT_200A
 30001  Icom                   IC-M700PRO              20181007.0      Alpha       RIG_MODEL_IC_M700PRO
 30002  Icom                   IC-M802                 20181007.0      Stable      RIG_MODEL_IC_M802
 30003  Icom                   IC-M710                 20181007.0      Stable      RIG_MODEL_IC_M710
 30004  Icom                   IC-M803                 20181007.0      Stable      RIG_MODEL_IC_M803
 31001  Dorji                  DRA818V                 20191209.0      Untested    RIG_MODEL_DORJI_DRA818V
 31002  Dorji                  DRA818U                 20191209.0      Untested    RIG_MODEL_DORJI_DRA818U
 32001  Barrett                2050                    20181111.0      Beta        RIG_MODEL_BARRETT_2050
 33001  ELAD                   FDM-DUO                 20200117.0      Untested    RIG_MODEL_ELAD_FDM_DUO
